asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Web Application Firewall,True,False,implemented,implemented,webApplicationFirewallConfiguration.enabled+firewallMode / firewallPolicy,appgateway/ns_appgateway,check_ns1_waf,WAF inline Prevention mode OR firewall_policy linked (WAF v2) → PASS; Detection mode → FAIL; no WAF → FAIL,appgateway,High,Wide,6
NS-1,Network Security Group Support,True,False,not_applicable_arm,still_not_applicable,N/A (subnet-level),appgateway/ns_appgateway,check_ns1_nsg,NSG attaches to subnet not gateway resource; not ARM-checkable per-gateway → UNKNOWN,appgateway,High,Wide,6
NS-2,Azure Private Link,True,False,implemented,implemented,privateLinkConfigurations,appgateway/ns_appgateway,check_ns2_private_link,private_link_configurations non-empty → PASS (Private Link active on frontend),appgateway,High,Wide,6
NS-2,Disable Public Network Access,True,False,implemented,implemented,frontendIPConfigurations[*].publicIPAddress,appgateway/ns_appgateway,check_ns2_disable_public_access,No public_ip_address in any frontend_ip_configurations → PASS (private-only deployment),appgateway,High,Wide,6
DP-2,Monitor Anomalies and Threats Targeting Sensitive Data,False,Not Applicable,upgraded_implemented,now_applicable_native,webApplicationFirewallConfiguration.enabled+firewallMode / firewallPolicy,appgateway/dp_appgateway,check_dp2_dlp,WAF Prevention mode → traffic inspection/anomaly detection active → PASS proxy,appgateway,Medium,Narrow,2
DP-3,Encrypt Data in Transit — Frontend SSL Policy,True,False,implemented,implemented,sslPolicy.minProtocolVersion,appgateway/dp_appgateway,check_dp3_tls_transit,ssl_policy.min_protocol_version in (TLSv1_2 / TLSv1_3) → PASS; None → FAIL (allows TLS 1.0/1.1),appgateway,Medium,Wide,4
DP-3,Encrypt Data in Transit — Backend TLS,True,False,implemented,implemented,backendHttpSettingsCollection[*].protocol,appgateway/dp_appgateway,check_dp3_tls_backend,All backend_http_settings_collection[*].protocol=Https → PASS; any Http → FAIL,appgateway,Medium,Wide,4
DP-4,Encrypt Data at Rest with Platform-Managed Keys,True,True,implemented,implemented,N/A (inherent — MS-managed),appgateway/dp_appgateway,check_dp4_platform_keys,AppGW configuration encrypted at rest with MS-managed keys by default — auto-PASS (static),appgateway,Medium,Narrow,2
DP-5,Encrypt Data at Rest with Customer-Managed Key,True,False,not_applicable_managed,still_not_applicable,N/A,appgateway/dp_appgateway,check_dp5_cmk,AppGW does not support CMK; MS-managed keys only → UNKNOWN with rationale,appgateway,Medium,Wide,4
DP-6,Manage Cryptographic Keys using Key Management Service,False,Not Applicable,upgraded_implemented,now_applicable_native,sslCertificates[*].keyVaultSecretId / identity,appgateway/dp_appgateway,check_dp6_key_mgmt,KV-backed certs (key_vault_secret_id) + MI assigned → PASS proxy; inline certs → FAIL,appgateway,Medium,Narrow,2
DP-7,Certificate Management using Azure Key Vault,False,Not Applicable,upgraded_implemented,now_applicable_native,sslCertificates[*].keyVaultSecretId,appgateway/dp_appgateway,check_dp7_cert_kv,key_vault_secret_id set on any ssl_certificate → PASS; inline certs → FAIL,appgateway,Medium,Narrow,2
IM-1,Use Centralized Identity and Authentication System — Disable Local Auth,False,Not Applicable,not_applicable_managed,still_not_applicable,N/A (no local auth concept),appgateway/im_appgateway,check_im1_local_auth_methods,AppGW has no SAS/shared-key; ARM RBAC only → UNKNOWN with rationale,appgateway,High,Narrow,3
IM-1,Use Centralized Identity and Authentication System — AAD Auth Required,False,Not Applicable,not_applicable_managed,still_not_applicable,N/A (ARM RBAC inherent),appgateway/im_appgateway,check_im1_aad_auth_required,ARM RBAC (Entra) is only mgmt plane auth — inherently satisfied but not configurable property → UNKNOWN,appgateway,High,Narrow,3
IM-3,Use Azure AD Managed Identities for Azure Resource Authentication,True,False,implemented,implemented,identity.type,appgateway/im_appgateway,check_im3_managed_identities,identity present (SystemAssigned/UserAssigned) → PASS; used for KV certificate retrieval,appgateway,High,Wide,6
IM-3,Use Azure AD Service Principals for Azure Resource Authentication,True,False,not_applicable_arm,still_not_applicable,N/A (ARM RBAC only),appgateway/im_appgateway,check_im3_service_principals,SP assignments via ARM RBAC; not readable per-gateway without azure-mgmt-authorization → UNKNOWN,appgateway,High,Wide,6
IM-7,Restrict Resource Access Based on Conditions — Conditional Access,True,False,not_applicable_arm,still_not_applicable,N/A (Entra tenant-level),appgateway/im_appgateway,check_im7_conditional_access,CA policies Entra tenant-level; not ARM-readable → UNKNOWN,appgateway,High,Wide,6
IM-8,Restrict the Exposure of Credential and Secrets — Use Azure Key Vault,False,Not Applicable,upgraded_implemented,now_applicable_native,sslCertificates[*].keyVaultSecretId / identity,appgateway/im_appgateway,check_im8_keyvault_secrets,KV-backed certs + MI → PASS; inline certs → FAIL; no certs → UNKNOWN,appgateway,High,Narrow,3
LT-1,Enable Threat Detection Capabilities — Microsoft Defender for Application Gateway,False,Not Applicable,not_applicable_managed,still_not_applicable,N/A,appgateway/lt_appgateway,check_lt1_defender,No Defender for AppGW product; WAF (NS-1) covers L7 threat detection → UNKNOWN,appgateway,High,Wide,6
LT-4,Enable Logging for Azure Resources,True,False,implemented,implemented,DiagnosticSettings.logs[*].enabled,appgateway/lt_appgateway,check_lt4_resource_logs,MonitorManagementClient.diagnostic_settings.list(gw.id); any enabled log → PASS; key: AccessLog + FirewallLog,appgateway,High,Wide,6
BR-1,Ensure Regular Automated Backups — Azure Backup Service,True,False,not_applicable_managed,still_not_applicable,N/A,appgateway/br_appgateway,check_br1_azure_backup,Azure Backup does not support AppGW config; ARM template export is manual only → UNKNOWN,appgateway,Medium,Wide,4
BR-1,Ensure Regular Automated Backups — Native Soft-Delete and Purge Protection,True,False,not_applicable_managed,still_not_applicable,N/A,appgateway/br_appgateway,check_br1_native_backup,No soft-delete or purge-protection for AppGW config; recovery via IaC templates → UNKNOWN,appgateway,Medium,Wide,4
AM-2,Use Only Approved Azure Services — Azure Policy Support,True,False,implemented,implemented,tags,appgateway/am_appgateway,check_am2_policy,Tags presence as proxy for policy governance; empty tags → FAIL,appgateway,Medium,Wide,4
AM-5,Use Only Approved Applications in Virtual Machine — Defender for Cloud AAC,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,appgateway/am_appgateway,check_am5_defender_aac,PaaS — Adaptive Application Controls target VMs and Arc servers only,appgateway,Medium,Wide,4
PA-1,Separate and Limit Highly Privileged/Administrative Users — Disable Local Admin,False,Not Applicable,not_applicable_managed,still_not_applicable,N/A (no local admin),appgateway/pa_appgateway,check_pa1_local_admin,AppGW has no local admin/shared-key concept; ARM RBAC only → UNKNOWN with rationale,appgateway,High,Narrow,3
PA-7,Follow Just Enough Administration Principle — RBAC for Data Plane,False,Not Applicable,not_applicable_managed,still_not_applicable,N/A (ARM RBAC management plane only),appgateway/pa_appgateway,check_pa7_rbac_data_plane,AppGW has no separate data-plane RBAC; JEA enforced at ARM RBAC level → UNKNOWN with rationale,appgateway,High,Narrow,3
PA-8,Determine Access Process for Microsoft Support — Customer Lockbox,False,Not Applicable,upgraded_implemented,now_applicable_native,N/A (subscription-level),appgateway/pa_appgateway,check_pa8_customer_lockbox,AppGW in Lockbox supported list (GA); subscription-level only — per-gateway check not available → UNKNOWN,appgateway,High,Narrow,3
ES-1,EDR Solution,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,appgateway/es_appgateway,check_es1_edr,PaaS — no customer compute; EDR not applicable,appgateway,Medium,Wide,4
